fund_id,fund_name,one_month,three_month,six_month,one_year,three_year,from_start
000009,易方达天天理财货币A,0.34%,0.98%,1.85%,3.13%,11.25%,17.71%
000001,华夏成长,3.04%,3.32%,3.81%,4.66%,26.90%,471.38%
000007,鹏华国企债债券,-0.34%,-2.36%,-7.56%,-8.94%,9.33%,12.72%
000003,中海可转债A,1.04%,-3.49%,-8.07%,-9.04%,-0.31%,-8.88%
000008,嘉实中证500ETF联接,-0.33%,-6.46%,-6.81%,1.45%,51.70%,63.94%
000005,嘉实增强信用定期债券,0.20%,0.28%,0.10%,1.21%,18.42%,19.25%
000010,易方达天天理财货币B,0.36%,1.04%,1.97%,3.38%,12.06%,18.92%
000011,华夏大盘精选,8.34%,10.36%,11.05%,19.48%,70.04%,1933.98%
000004,中海可转债C,1.04%,-3.59%,-8.25%,-9.42%,0.65%,-8.41%
000013,易方达天天理财货币R,0.36%,1.05%,1.98%,3.39%,12.09%,18.97%
000014,华夏聚利债券,0.35%,-0.61%,-2.64%,-1.21%,13.96%,14.30%
000015,华夏纯债债券A,-0.09%,-0.43%,-1.55%,-0.69%,15.66%,17.51%
000016,华夏纯债债券C,-0.09%,-0.53%,-1.75%,-0.97%,14.33%,15.59%
000022,南方中票A,0.43%,-0.24%,-1.22%,-1.60%,8.43%,14.64%
000017,财通可持续混合,1.75%,0.73%,3.55%,-1.29%,66.97%,121.04%
000020,景顺长城品质投资混合,6.61%,11.18%,14.50%,19.27%,113.94%,91.90%
000023,南方中票C,0.40%,-0.31%,-1.28%,-1.77%,7.74%,13.52%
000021,华夏优势增长混合,4.22%,3.01%,3.13%,4.48%,49.11%,243.84%
000027,泰达信用合利债券B,0.30%,0.10%,-0.44%,0.13%,26.14%,32.57%
000026,泰达信用合利债券A,0.30%,0.10%,-0.33%,0.33%,27.19%,34.06%
000025,大摩双利增强债券C,-0.08%,-0.08%,-0.91%,2.02%,25.10%,31.10%
000024,大摩双利增强债券A,0.00%,0.00%,-0.75%,2.49%,25.26%,31.90%
000030,长城久利保本混合,0.80%,0.30%,0.30%,-0.10%,0.70%,52.21%
000028,华富保本混合,1.00%,0.00%,-0.30%,-0.39%,1.00%,34.01%
000029,富国宏观策略,0.15%,1.33%,0.22%,7.44%,52.76%,59.94%
000031,华夏复兴混合,1.96%,-3.85%,-7.08%,-3.17%,38.68%,77.10%
000037,广发理财7天债券A,0.35%,1.03%,1.95%,3.21%,12.16%,17.34%
000038,广发理财7天债券B,0.37%,1.10%,2.10%,3.51%,13.14%,18.04%
000033,易方达信用债债券C,-0.08%,-0.17%,-0.50%,1.61%,19.15%,20.10%
000041,华夏全球精选,5.25%,12.38%,23.33%,31.42%,12.12%,-3.80%
000042,中证财通可持续发展100指,5.80%,4.15%,2.55%,16.89%,77.02%,53.83%
000032,易方达信用债债券A,-0.16%,-0.08%,-0.41%,2.00%,20.51%,22.20%
000039,农银高增长混合,4.52%,1.23%,-2.38%,-9.25%,78.01%,84.77%
000045,工银产业债A,1.56%,1.23%,0.32%,2.67%,35.33%,39.12%
000043,嘉实美国成长股票,3.53%,6.17%,11.08%,21.85%,38.83%,58.40%
000046,工银产业债B,1.49%,1.16%,0.00%,2.18%,33.34%,36.41%
000048,华夏双债增强债券C,0.00%,-0.35%,-1.53%,-0.18%,31.05%,34.72%
000047,华夏双债增强债券A,0.00%,-0.35%,-1.34%,0.09%,32.10%,36.32%
000049,中银标普全球资源等权重指数,-0.81%,-1.51%,-3.27%,12.57%,-4.97%,-2.40%
000044,嘉实美国成长股票现汇,5.15%,7.92%,12.42%,17.60%,25.88%,43.00%
000050,长盛纯债债券A,0.00%,-0.28%,-0.09%,0.38%,17.18%,22.57%
000052,长盛纯债债券C,-0.10%,-0.47%,-0.38%,0.00%,16.14%,20.90%
000051,华夏沪深300ETF联接,6.69%,4.65%,2.87%,15.26%,76.34%,14.80%
000054,鹏华双债增利债券,0.00%,0.14%,-0.20%,2.56%,24.41%,27.64%
000053,鹏华实业债纯债债券,0.10%,-0.33%,-1.94%,-2.97%,31.01%,35.47%
000055,广发纳斯达克100指数美元现汇,4.00%,9.72%,20.76%,29.46%,--,41.32%
000056,建信消费升级混合,4.95%,5.77%,2.50%,14.21%,90.89%,76.00%
000057,中银消费主题混合,5.28%,3.28%,0.52%,-1.09%,26.75%,35.50%
000058,国联安保本混合,-0.90%,0.00%,-0.20%,-0.60%,-0.90%,11.85%
000059,国联安中证医药100,1.58%,-2.81%,-6.03%,1.42%,44.61%,48.37%
