fund_id,fund_name,one_month,three_month,six_month,one_year,three_year,from_start
000009,易方达天天理财货币A,0.35%,1.05%,1.99%,3.49%,11.14%,18.73%
000010,易方达天天理财货币B,0.37%,1.11%,2.11%,3.73%,11.94%,20.01%
000003,中海可转债A,-1.33%,6.82%,1.12%,-6.65%,-4.58%,-4.30%
000004,中海可转债C,-1.33%,6.65%,0.99%,-6.94%,-3.63%,-3.83%
000007,鹏华国企债债券,0.08%,2.13%,-0.92%,-7.59%,7.50%,14.59%
000001,华夏成长,1.42%,4.59%,5.56%,3.24%,19.98%,482.10%
000008,嘉实中证500ETF联接,1.78%,8.23%,-2.07%,-0.37%,35.23%,72.35%
000005,嘉实增强信用定期债券,0.20%,2.10%,2.08%,1.28%,18.90%,21.39%
000013,易方达天天理财货币R,0.37%,1.11%,2.12%,3.74%,11.97%,20.06%
000011,华夏大盘精选,-1.57%,5.85%,14.17%,14.38%,61.09%,1960.72%
000016,华夏纯债债券C,0.00%,1.87%,0.88%,-1.55%,14.02%,17.44%
000015,华夏纯债债券A,0.00%,2.01%,1.13%,-1.10%,15.41%,19.56%
000020,景顺长城品质投资混合,1.19%,11.80%,20.89%,21.68%,103.50%,103.70%
000021,华夏优势增长混合,-0.47%,4.06%,4.51%,0.54%,39.18%,246.29%
000014,华夏聚利债券,0.00%,3.00%,1.21%,-1.02%,13.83%,16.90%
000017,财通可持续混合,-0.84%,4.23%,2.80%,1.50%,46.21%,123.53%
000023,南方中票C,-0.15%,1.18%,0.34%,-1.96%,7.53%,14.51%
000024,大摩双利增强债券A,0.19%,1.44%,0.98%,1.21%,22.57%,33.60%
000025,大摩双利增强债券C,0.19%,1.28%,0.82%,0.82%,22.51%,32.68%
000028,华富保本混合,2.50%,-0.10%,1.69%,0.99%,1.38%,27.56%
000027,泰达信用合利债券B,0.10%,2.70%,1.99%,1.06%,24.96%,35.34%
000026,泰达信用合利债券A,0.19%,2.99%,2.38%,1.56%,26.26%,37.25%
000029,富国宏观策略,1.99%,5.58%,4.89%,9.49%,47.29%,67.03%
000030,长城久利保本混合,1.70%,0.00%,1.29%,0.89%,0.79%,47.32%
000031,华夏复兴混合,-1.08%,0.58%,-6.35%,-10.49%,25.45%,74.00%
000037,广发理财7天债券A,0.35%,1.05%,2.04%,3.57%,11.95%,18.36%
000033,易方达信用债债券C,-0.08%,1.33%,0.91%,0.58%,18.77%,21.50%
000032,易方达信用债债券A,-0.16%,1.31%,1.06%,0.90%,20.21%,23.70%
000038,广发理财7天债券B,0.38%,1.12%,2.19%,3.87%,12.93%,19.13%
000039,农银高增长混合,0.07%,3.11%,0.61%,-5.24%,61.26%,84.97%
000041,华夏全球精选,1.92%,7.68%,18.96%,29.49%,11.85%,1.00%
000022,南方中票A,-0.13%,1.27%,0.41%,-1.77%,8.24%,15.71%
000042,中证财通可持续发展100指,-0.34%,10.35%,8.64%,15.81%,64.49%,63.17%
000043,嘉实美国成长股票,-1.83%,0.45%,4.64%,13.42%,33.02%,55.50%
000045,工银产业债A,-0.39%,3.19%,3.10%,1.87%,33.92%,41.82%
000046,工银产业债B,-0.40%,3.15%,2.89%,1.40%,32.10%,38.97%
000044,嘉实美国成长股票现汇,-0.63%,3.47%,7.92%,13.30%,22.94%,43.10%
000047,华夏双债增强债券A,0.35%,1.94%,1.31%,-0.19%,30.74%,38.84%
000048,华夏双债增强债券C,0.26%,1.87%,1.15%,-0.46%,29.72%,37.11%
000049,中银标普全球资源等权重指数,0.40%,-0.20%,-2.82%,7.29%,-4.30%,0.10%
000050,长盛纯债债券A,-0.38%,0.76%,0.28%,0.47%,15.09%,23.26%
000051,华夏沪深300ETF联接,-0.08%,10.18%,9.09%,14.02%,65.80%,21.20%
000054,鹏华双债增利债券,0.02%,1.33%,1.31%,1.61%,23.03%,29.18%
000052,长盛纯债债券C,-0.38%,0.76%,0.09%,0.00%,14.06%,21.59%
000053,鹏华实业债纯债债券,-0.18%,0.73%,-0.03%,-3.04%,25.94%,36.01%
000056,建信消费升级混合,0.44%,7.62%,9.81%,9.35%,77.39%,83.60%
000055,广发纳斯达克100指数美元现汇,-1.23%,2.47%,9.56%,20.26%,--,40.42%
000057,中银消费主题混合,-0.57%,7.40%,4.84%,2.03%,20.98%,40.70%
000058,国联安保本混合,-0.20%,0.05%,0.81%,0.60%,-0.40%,9.07%
000059,国联安中证医药100,1.39%,0.21%,-5.47%,-8.61%,27.42%,45.76%
000061,华夏盛世混合,2.33%,-5.04%,-10.47%,-13.81%,19.23%,-7.60%
000062,银华量化智慧动力混合,0.00%,9.84%,-5.76%,-3.76%,12.15%,22.80%
000063,长盛电子信息主题灵活配置混合,3.93%,2.30%,-5.63%,-16.49%,80.38%,69.20%
000064,大摩18个月定期开放债券,0.29%,1.17%,1.76%,2.33%,30.02%,41.97%
000066,诺安鸿鑫保本混合,2.70%,0.00%,1.99%,1.28%,2.09%,34.83%
000065,国富焦点驱动混合,0.21%,5.02%,6.43%,8.13%,48.29%,61.04%
000067,民生加银转债优选A,-0.15%,8.53%,0.00%,-1.01%,-2.15%,-4.59%
000071,华夏恒生ETF联接,0.95%,5.57%,11.87%,20.57%,26.43%,43.63%
000070,国投瑞银中高等级债券C,-0.10%,1.92%,1.15%,0.02%,18.82%,29.06%
000074,工银信用纯债一年定开债券A,0.15%,2.18%,1.95%,0.46%,19.96%,31.00%
000075,华夏恒生联接现汇,2.27%,9.10%,15.45%,20.35%,17.08%,36.65%
000073,上投成长动力,1.97%,13.00%,22.40%,13.80%,37.91%,29.50%
000072,华安保本混合,2.50%,0.10%,1.89%,1.49%,1.49%,66.47%
000068,民生加银转债优选C,-0.29%,8.27%,-0.29%,-1.45%,-3.19%,-6.09%
000076,华夏恒生联接现钞,--,--,--,--,--,--
000077,工银信用纯债一年定开债券C,0.08%,1.98%,1.74%,0.00%,18.51%,28.70%
000078,工银信用纯债两年定开债券A,0.08%,0.84%,0.25%,-2.28%,12.14%,20.10%
000081,天治可转债C,-0.27%,6.88%,0.27%,-6.83%,12.47%,11.80%
000082,嘉实研究阿尔法股票,0.79%,10.14%,8.54%,12.38%,78.73%,95.88%
000083,汇添富消费行业混合,-1.11%,10.23%,17.27%,21.23%,106.87%,177.00%
000085,博时安盈债券C,0.09%,0.82%,1.18%,0.45%,8.17%,14.81%
000087,嘉实中证金边国债ETF联接A,-0.44%,-0.28%,-2.62%,-4.17%,4.45%,6.10%
000084,博时安盈债券A,0.09%,0.89%,1.35%,0.80%,9.41%,16.90%
000086,南方稳利1年定期开放债券A,-0.20%,1.33%,0.10%,-3.83%,14.04%,24.65%
000089,民生加银家盈理财月度A,0.35%,1.09%,2.09%,3.88%,12.49%,19.41%
000090,民生加银家盈理财月度B,0.37%,1.15%,2.21%,4.12%,13.30%,20.45%
000092,信诚新双盈分级债券A
000091,信诚新双盈分级债券,-0.20%,0.90%,-0.10%,-1.95%,37.61%,39.95%
000093,信诚新双盈分级债券B,-1.29%,0.71%,-1.18%,-9.13%,37.93%,41.32%
000103,国泰中国企业境外高收益债券,-0.07%,-2.69%,-1.40%,3.24%,24.95%,33.70%
000104,华宸信用增利债券,0.18%,1.40%,0.65%,0.55%,25.92%,32.73%
000079,工银信用纯债两年定开债券C,0.08%,0.77%,0.00%,-2.63%,10.98%,18.30%
000106,建信安心回报债券C,-0.09%,1.39%,0.95%,-2.01%,11.23%,18.06%
000080,天治可转债A,-0.18%,7.08%,0.53%,-6.44%,13.51%,13.40%
000107,富国稳健增强债券A/B,0.20%,1.89%,1.77%,0.82%,25.80%,36.25%
000105,建信安心回报债券A,0.00%,1.45%,1.10%,-1.65%,12.48%,20.18%
000109,富国稳健增强债券C,0.10%,1.79%,1.58%,0.43%,24.19%,33.76%
000110,金鹰元安混合A,0.18%,1.36%,1.64%,1.20%,22.03%,33.01%
000111,易方达纯债1年定开债券A,0.19%,1.91%,1.71%,1.52%,18.37%,25.64%
000112,易方达纯债1年定开债券C,0.19%,1.83%,1.54%,1.15%,17.15%,23.86%
000113,嘉实如意宝定期债券A,0.00%,1.33%,1.49%,-0.14%,19.55%,27.20%
000115,嘉实如意宝定期债券C,-0.09%,1.16%,1.21%,-0.60%,18.12%,25.09%
000117,广发轮动配置混合,1.37%,-0.55%,5.49%,5.56%,60.26%,63.30%
000116,嘉实丰益纯债定期债券,0.10%,1.73%,1.52%,0.16%,16.48%,24.79%
000118,广发聚鑫债券A,0.92%,5.04%,2.20%,-1.37%,55.46%,66.65%
000119,广发聚鑫债券C,0.92%,4.97%,2.04%,-1.72%,54.84%,65.21%
000120,中银美丽中国混合,-1.71%,4.13%,-1.41%,2.19%,21.70%,30.52%
000121,华夏永福养老理财混合A,0.00%,4.86%,4.72%,5.28%,46.78%,57.50%
000122,汇添富实业债债券A,0.00%,2.82%,2.05%,0.13%,26.29%,39.67%
000123,汇添富实业债债券C,-0.09%,2.59%,1.81%,-0.41%,24.67%,37.01%
000125,上投摩根天颐年丰混合A,0.29%,2.80%,3.10%,3.41%,27.91%,34.36%
000126,招商安润保本混合,2.30%,0.00%,1.59%,1.39%,0.89%,31.70%
